task_id,route_dominance,effective_hosts,context_top1_acc,context_entropy,variant,seed
0,0.7133141756057739,2.2611262798309326,0.0,0.30911359190940857,reference_v22c,0
1,0.7437502145767212,1.9877439737319946,0.0,0.1268872767686844,reference_v22c,0
2,0.6797887086868286,2.32000470161438,0.0,0.41173967719078064,reference_v22c,0
3,0.6799729466438293,2.2514820098876953,0.0,0.63603276014328,reference_v22c,0
4,0.9435491561889648,1.2756872177124023,1.0,0.2903984487056732,reference_v22c,0
5,0.7801436185836792,1.7903058528900146,0.871999979019165,0.18654976785182953,reference_v22c,0
6,0.4014727473258972,3.369251251220703,1.0,0.0976494699716568,reference_v22c,0
7,0.716464638710022,2.2439844608306885,1.0,0.0723031535744667,reference_v22c,0
8,0.5995322465896606,2.3340728282928467,1.0,0.14278900623321533,reference_v22c,0
9,0.7242584228515625,1.9883053302764893,1.0,0.09111343324184418,reference_v22c,0
0,0.9016483426094055,1.507534384727478,0.03999999910593033,0.6200379133224487,reference_v22c,4
1,0.9678294658660889,1.1807223558425903,0.0,0.11354941129684448,reference_v22c,4
2,0.871234118938446,1.724552035331726,0.06400000303983688,0.4468536674976349,reference_v22c,4
3,0.8628591299057007,1.6867492198944092,0.06400000303983688,0.5839707255363464,reference_v22c,4
4,0.6451424360275269,2.1233322620391846,0.36000001430511475,0.45706072449684143,reference_v22c,4
5,0.7284133434295654,2.121922492980957,0.1679999977350235,0.5590869188308716,reference_v22c,4
6,0.4587041735649109,3.013803005218506,1.0,0.09584514796733856,reference_v22c,4
7,0.8607977628707886,1.5771393775939941,1.0,0.06138477474451065,reference_v22c,4
8,0.6785187125205994,2.809051513671875,1.0,0.13055013120174408,reference_v22c,4
9,0.9579700827598572,1.2180310487747192,1.0,0.06526476889848709,reference_v22c,4
0,0.6067168116569519,2.367905378341675,0.0,0.1600920408964157,context_ema_retention,0
1,0.5568477511405945,2.4568517208099365,0.0,0.12878228724002838,context_ema_retention,0
2,0.6452199816703796,2.196120262145996,0.0,0.15243881940841675,context_ema_retention,0
3,0.6535768508911133,2.188581705093384,0.06400000303983688,0.26575544476509094,context_ema_retention,0
4,0.5820687413215637,2.3204801082611084,0.0,0.20144999027252197,context_ema_retention,0
5,0.43055492639541626,3.2206387519836426,0.8320000171661377,0.20794497430324554,context_ema_retention,0
6,0.4743891954421997,2.6359221935272217,1.0,0.09233932197093964,context_ema_retention,0
7,0.563315212726593,2.246595859527588,1.0,0.0845310315489769,context_ema_retention,0
8,0.497327983379364,2.8612687587738037,1.0,0.14207778871059418,context_ema_retention,0
9,0.5688495635986328,2.353086233139038,1.0,0.0955783799290657,context_ema_retention,0
0,0.6410317420959473,2.6738569736480713,0.0,0.6342419385910034,context_ema_retention,4
1,0.8851845264434814,1.580380916595459,0.0,0.1462712436914444,context_ema_retention,4
2,0.5799113512039185,2.9245660305023193,0.6159999966621399,0.29741907119750977,context_ema_retention,4
3,0.4643499255180359,3.228992462158203,0.06400000303983688,0.6414080262184143,context_ema_retention,4
4,0.7329119443893433,1.9687858819961548,0.871999979019165,0.21307502686977386,context_ema_retention,4
5,0.43916141986846924,3.7115728855133057,1.0,0.13632731139659882,context_ema_retention,4
6,0.723554253578186,2.384854793548584,1.0,0.10446196049451828,context_ema_retention,4
7,0.6815797686576843,2.4036569595336914,1.0,0.06759613007307053,context_ema_retention,4
8,0.879814088344574,1.6457760334014893,1.0,0.10714250802993774,context_ema_retention,4
9,0.8990215063095093,1.5219204425811768,1.0,0.08327226340770721,context_ema_retention,4
0,0.1768140196800232,9.068549156188965,0.0,0.5913888216018677,full_rescue,0
1,0.16813348233699799,9.104150772094727,0.0,0.13190260529518127,full_rescue,0
2,0.2728777527809143,8.534914016723633,0.4480000138282776,0.3290632367134094,full_rescue,0
3,0.179090216755867,8.924768447875977,0.4480000138282776,0.3810919523239136,full_rescue,0
4,0.20300109684467316,8.761797904968262,0.871999979019165,0.22576941549777985,full_rescue,0
5,0.18401294946670532,8.432897567749023,1.0,0.13243865966796875,full_rescue,0
6,0.2044380158185959,8.1306734085083,1.0,0.09042288362979889,full_rescue,0
7,0.17997734248638153,8.205770492553711,1.0,0.07030539214611053,full_rescue,0
8,0.16751611232757568,9.308333396911621,1.0,0.18256032466888428,full_rescue,0
9,0.19192250072956085,8.80388069152832,1.0,0.08943227678537369,full_rescue,0
0,0.18254554271697998,8.946609497070312,0.0,0.4783989489078522,full_rescue,4
1,0.1853945106267929,8.940722465515137,0.0,0.1350313276052475,full_rescue,4
2,0.2546730041503906,7.7173027992248535,0.871999979019165,0.165253147482872,full_rescue,4
3,0.21417568624019623,8.129599571228027,0.5759999752044678,0.3579035997390747,full_rescue,4
4,0.18652233481407166,8.459288597106934,1.0,0.14103926718235016,full_rescue,4
5,0.18290658295154572,8.723587989807129,1.0,0.10780392587184906,full_rescue,4
6,0.18462876975536346,9.289180755615234,1.0,0.0817718505859375,full_rescue,4
7,0.20587800443172455,7.975887298583984,1.0,0.0629759132862091,full_rescue,4
8,0.16038694977760315,9.051777839660645,1.0,0.11160742491483688,full_rescue,4
9,0.2081862837076187,9.099936485290527,1.0,0.080440454185009,full_rescue,4
